0.1	 0.329095  0.399113 -0.771018
0.2	 0.256086  0.302942 -0.580315
0.3	 0.196744  0.230288 -0.437164
0.4	 0.150364  0.174828 -0.329824
0.5	 0.114643  0.132643 -0.249097
0.6	 0.087273  0.100607 -0.188206
0.7	0.0663122 0.0762596 -0.142176
0.8	0.0503202 0.0577728   -0.1074
0.9	 0.0381637  0.0437568 -0.0811481
1	 0.0289306  0.0331335 -0.0613226
1.1	  0.021922  0.0250835 -0.0463458
1.2	  0.016605  0.0189851 -0.0350292
1.3	 0.0125732  0.0143664 -0.0264771
1.4	0.00951749  0.0108693 -0.0200134
1.5	0.00720257 0.00822216 -0.0151279
1.6	0.00544955  0.0062189 -0.0114352
1.7	 0.00412252  0.00470322 -0.00864387
1.8	 0.00311825  0.00355668 -0.00653397
1.9	 0.00235844   0.0026895 -0.00493912
2	 0.0017837  0.0020337 -0.0037336
2.1	 0.00134902  0.00153782 -0.00282236
2.2	 0.00102032  0.00116289 -0.00213357
2.3	0.000771792 0.000879434 -0.00161294
2.4	0.000583899 0.000665147 -0.00121941
2.5	 0.000441864  0.000503163 -0.000921951
2.6	 0.000334505  0.000380726 -0.000697119
2.7	 0.000253368  0.000288187 -0.000527184
2.8	 0.000192056  0.000218254 -0.000398743
2.9	 0.000145735  0.000165411 -0.000301667
3	 0.000110748  0.000125489 -0.000228301
3.1	 8.43312e-05  9.53366e-05 -0.000172856
3.2	 6.43946e-05  7.25706e-05 -0.000130957
3.3	 4.93583e-05  5.53897e-05 -9.92969e-05
3.4	3.80281e-05 4.24324e-05 -7.5377e-05
3.5	 2.95013e-05  3.26693e-05 -5.73072e-05
